iter	Logloss	Accuracy
409	0.004770648479	1
410	0.004770459533	1
411	0.004768922329	1
412	0.004768636227	1
413	0.004768298864	1
414	0.004767742157	1
415	0.004766864479	1
416	0.004764615297	1
417	0.004764325023	1
418	0.004763355255	1
419	0.004760974646	1
420	0.004759153724	1
421	0.00475880444	1
422	0.004758211374	1
423	0.004751236737	1
424	0.004750852287	1
425	0.004716462195	1
426	0.004716337323	1
427	0.004714923799	1
428	0.004708720446	1
429	0.004706901312	1
430	0.004705613554	1
431	0.004704902768	1
432	0.004704693258	1
433	0.004703755677	1
434	0.004703401923	1
435	0.004697907865	1
436	0.004697604477	1
437	0.004697274566	1
438	0.004697180092	1
439	0.004666153789	1
440	0.004664168954	1
441	0.00466391921	1
442	0.004663308859	1
443	0.004659365118	1
444	0.004654653668	1
445	0.004654524922	1
446	0.004609028995	1
447	0.004592287838	1
448	0.004588715434	1
449	0.004586612582	1
450	0.004584587514	1
451	0.004583191872	1
452	0.004582722485	1
453	0.004581754804	1
454	0.004581557214	1
455	0.004580288827	1
456	0.004580125511	1
457	0.004578198195	1
458	0.004576483369	1
459	0.004574938715	1
460	0.0045746696	1
461	0.004574481249	1
462	0.004573273063	1
463	0.004573028088	1
464	0.004572798014	1
465	0.004572550654	1
466	0.004572409689	1
467	0.004572170973	1
468	0.004572024941	1
469	0.004571750164	1
470	0.004571563601	1
471	0.004570819139	1
472	0.004560321867	1
473	0.004560244679	1
474	0.004560076594	1
475	0.004559953213	1
476	0.004558612108	1
477	0.004557437897	1
478	0.004557119012	1
479	0.004556207061	1
480	0.004555409551	1
481	0.004554503858	1
482	0.004550519884	1
483	0.004550422132	1
484	0.004550305605	1
485	0.00455021143	1
486	0.004547079504	1
487	0.004546957016	1
488	0.004545857012	1
489	0.004545714259	1
490	0.004545516372	1
491	0.004544126391	1
492	0.004542754292	1
493	0.004536904991	1
494	0.004536651373	1
495	0.004536495209	1
496	0.00453623414	1
497	0.004535988867	1
498	0.004535901845	1
499	0.004535852075	1
500	0.004535764158	1
501	0.00453559041	1
502	0.004535517097	1
503	0.004534516633	1
504	0.004534169734	1
505	0.004534047544	1
506	0.004533947706	1
507	0.004533740878	1
508	0.004533587098	1
509	0.004533503652	1
510	0.004530029893	1
511	0.004529923201	1
512	0.004528849721	1
513	0.00452807188	1
514	0.004526820779	1
515	0.004525024891	1
516	0.004524084926	1
517	0.004523947835	1
518	0.00452385664	1
519	0.004523181915	1
520	0.004523083568	1
521	0.004522992969	1
522	0.004522893429	1
523	0.004522803426	1
524	0.004522721171	1
525	0.004522680044	1
526	0.004522138834	1
527	0.004522029161	1
528	0.004487678409	1
529	0.004486510754	1
530	0.004485845566	1
531	0.004484128654	1
532	0.004483338594	1
533	0.004476084411	1
534	0.004475979209	1
535	0.004475362897	1
536	0.00447527051	1
537	0.00447181195	1
538	0.004470570683	1
539	0.004470480084	1
540	0.004470361769	1
541	0.004470255673	1
542	0.004470185637	1
543	0.004469311237	1
544	0.004469153881	1
545	0.004468392134	1
546	0.004467696548	1
547	0.00446516186	1
548	0.004464988708	1
549	0.004464805722	1
550	0.00445907712	1
551	0.004458952546	1
552	0.004456853867	1
553	0.004456793368	1
554	0.004453971684	1
555	0.004449309111	1
556	0.004448457062	1
557	0.004448282421	1
558	0.004444376826	1
559	0.004427967668	1
560	0.004415817559	1
561	0.004411640763	1
562	0.0044080773	1
563	0.004341930747	1
564	0.004341505766	1
565	0.004338823557	1
566	0.004338195324	1
567	0.004338098168	1
568	0.004338026047	1
569	0.004334781766	1
570	0.00433470279	1
571	0.004329133332	1
572	0.004329016209	1
573	0.004328926802	1
574	0.004328559041	1
575	0.004328464866	1
576	0.004328416288	1
577	0.004328267872	1
578	0.004327732325	1
579	0.004327632487	1
580	0.004327571392	1
581	0.004327545464	1
582	0.004327471554	1
583	0.00432739526	1
584	0.004326500893	1
585	0.004325922132	1
586	0.004325524867	1
587	0.004325042367	1
588	0.004324943423	1
589	0.004324841499	1
590	0.004323941469	1
591	0.004323199093	1
592	0.004323107004	1
593	0.004323018491	1
594	0.004322953224	1
595	0.004322883487	1
596	0.004322859347	1
597	0.004322810173	1
598	0.004321848154	1
599	0.004321124554	1
600	0.004320921302	1
601	0.004320738316	1
602	0.004320661426	1
603	0.004320626259	1
604	0.004319849014	1
605	0.004317570329	1
606	0.004317443371	1
607	0.004317254722	1
608	0.004287646413	1
609	0.004281904697	1
610	0.004280468524	1
611	0.004278718829	1
612	0.004276406169	1
613	0.004227390885	1
